发行商,平均在线玩家数
IMCGAMES Co.,1951.0
Fixer Games,1951.0
SuperVillain Studios,1950.0
Team17 Digital Ltd,1939.0
AGC,1936.0
Morgopolis Studios,1936.0
FireFly Studios,1931.0
Zero Gravity,1923.0
Homegrown Games,1919.0
Blazing Griffin Ltd.,1916.0
Cyan Inc.,1912.0
Devolver Digital,1909.0
U-Play Online,1908.0
Dovetail Games - TSW,1903.0
REX PEX GAMES,1890.0
Gigantic Duck Games,1888.0
The Men Who Wear Many Hats,1885.0
Four Winged Studio,1881.0
The Meta,1881.0
Hobibit,1873.0
FYQD-Studio,1866.0
QuickSave,1865.0
takk,1865.0
Streum On Studio,1860.0
Animu Game,1858.0
Studio48,1855.0
MetalBear,1854.0
Mobile Technologies LLC,1854.0
香港商河洛互動娛樂股份有限公司,1852.0
Quiquopro Games ,1851.0
Beamdog,1848.0
I Need Play,1846.0
Gaslamp Games,1845.0
Nicholas Mallory,1832.0
Iceberg Interactive,1832.0
505 Games,1831.0
VGstudio,1829.0
Mercury Steam Entertainment s.l.,1825.0
Kedexa,1819.0
Young Horses,1810.0
Fiveamp,1809.0
Rockodile,1798.0
Ubisoft Entertainment				,1792.0
Victory Lap Games,1791.0
FranticDreamer,1782.0
Kyle Seeley,1776.0
PlazSoft,1772.0
Anate Studio,1772.0
AO2Game,1769.0
Displacement Studios,1765.0
Free Candy Games,1762.0
Giant Games,1760.0
Game-Labs,1755.0
Steel Crate Games,1744.0
JForce Games,1742.0
Digitalmindsoft,1741.0
RAV3 Interactive,1741.0
2B_GAMES,1738.0
Watercolor Games,1735.0
Mega Boss Game Studio,1733.0
Grey Havens,1732.0
Fox Dawn,1731.0
Spotted Kiwi Interactive,1728.0
@unepic_fran,1726.0
Blake Fix,1726.0
MP Game Studios,1722.0
Mechanical Boss,1720.0
Computer Lunch,1717.0
a2z Interactive,1716.0
Double Fine Productions,1714.0
Indie Game Group,1708.0
Otter-Co,1707.0
CAPCOM U.S.A.,1706.0
Because I Can,1696.0
ProjectMoon,1695.0
Brilliant Skies Ltd.,1692.0
Might and Delight,1688.0
Tomadeira,1687.0
Marco Tancredi,1685.0
Massive Damage,1683.0
RainDance LX,1681.0
Flashbulb,1680.0
KRAFTON,1679.0
Ilya Gubin,1676.0
BisquitPlay,1676.0
Akim Games,1676.0
Hidden Path Entertainment,1674.0
Homegrown Games - a HRMC Label,1671.0
EasyAntiCheat Ltd,1665.0
RedRuins Softworks,1665.0
Just Amusing Myself Studios,1662.0
NEOWIZ,1662.0
Siege Games,1662.0
Kiss Publishing Ltd,1653.0
Kyle Pulver,1649.0
TeamWaterFly,1648.0
tinyBuild,1645.0
Colossal Wreck,1629.0
Athena Works,1627.0
Lightning Man Media ,1619.0
Quantum Phoenix Studio,1618.0
CI Games,1617.0
Thrill Pill Games,1612.0
Conatus Creative Inc.,1607.0
DOG HOGGLER,1606.0
Lightmare Studios,1604.0
Synnergy Circle Games,1603.0
studio Don Quixote,1603.0
Goldhawk Interactive,1601.0
Abyss Lights Studio LLP,1601.0
艺龙游戏,1600.0
Ismael Pozzo,1598.0
Liam Hughes,1594.0
DistrictTeam,1593.0
 Asset Flip Studio,1589.0
DarkStar Games,1587.0
Skobbejak Games,1584.0
OnigiriStudio,1582.0
VRFavs d.o.o.,1581.0
Jan Zelený,1580.0
Blue Sunset Games,1580.0
BEST KIRIN GLOBAL LIMITED,1574.0
4Fufelz,1573.0
DolphinBarn,1570.0
Cleverweek,1567.0
RCG,1563.0
Quaint Emerald,1561.0
Igara Studio,1561.0
KK Softworks,1557.0
Bloober Team NA,1556.0
Andrés Calva,1556.0
YFYX games,1553.0
Poysky Productions,1551.0
Nicholas Ewalt,1551.0
Mugle Studio,1548.0
Eleventh Hour Games,1548.0
TwoWizards,1544.0
Phanom Games,1543.0
Jonathan BRASSAUD,1542.0
Xander's Corgi Arcade,1541.0
NEXT Studios,1541.0
KillHouse Games,1538.0
Downpour Interactive,1537.0
Stress Level Zero,1533.0
PixelTail Games,1532.0
White Dog,1531.0
Asteroid Game Studio,1531.0
Team Reptile,1527.0
Lukas Rustemeyer,1524.0
MuHa Games,1515.0
Valkyrie Initiative,1515.0
Infernum Games GmbH,1514.0
托更的修罗,1510.0
Sunight Games,1510.0
Frogsong Studios AB,1506.0
Total Mayhem Games,1506.0
2ndDimensionGhost,1504.0
8Floor,1499.0
Cubic Pie,1495.0
Oryon Entertainment,1494.0
